03/09/2023,AN,21,AL,13
03/09/2023,AN,17,AC,21
03/09/2023,CY,21,AN,19
03/09/2023,AC,21,AL,14
03/09/2023,IG,20,BH,22
03/09/2023,GS,21,BH,9
03/09/2023,IG,21,GS,18
03/09/2023,AL,21,CY,14
03/09/2023,CY,21,IG,10
10/09/2023,AN,21,JO,18
10/09/2023,AN,21,JX,16
10/09/2023,CY,21,JX,14
10/09/2023,CY,21,JX,14
10/09/2023,JX,21,JO,16
10/09/2023,CY,21,JO,18
10/09/2023,SL,21,IG,14
10/09/2023,SL,21,CW,14
10/09/2023,CW,21,IG,19
17/09/2023,CY,21,AN,16
17/09/2023,CY,21,DH,14
17/09/2023,CY,14,NM,21
17/09/2023,DH,21,AN,19
17/09/2023,AN,21,NM,17
17/09/2023,NM,16,DH,21
17/09/2023,AE,21,OL,23
17/09/2023,AE,21,LLu,11
17/09/2023,AE,21,LLee,13
17/09/2023,OL,21,LLu,14
17/09/2023,OL,21,LLee,12
17/09/2023,LLu,22,LLee,20
